id,number_and_street,city,postal_code,country
1,777 Brockton Avenue,Abington,02351,US
2,30 Memorial Drive,Avon,02322,US
3,250 Hartford Avenue,Bellingham,02019,US
4,700 Oak Street,Brockton,02301,US
5,66-4 Parkhurst Rd,Chelmsford,01824,US
6,591 Memorial Dr,Chicopee,01020,US
7,55 Brooksby Village Way,Danvers,01923,US
8,137 Teaticket Hwy,East Falmouth,02536,US
9,42 Fairhaven Commons Way,Fairhaven,02719,US
10,374 William S Canning Blvd,Fall River,02721,US
11,121 Worcester Rd,Framingham,01701,US
12,677 Timpany Blvd,Gardner,01440,US
13,337 Russell St,Hadley,01035,US
14,295 Plymouth Street,Halifax,02338,US
15,1775 Washington St,Hanover,02339,US
16,280 Washington Street,Hudson,01749,US
17,20 Soojian Dr,Leicester,01524,US
18,11 Jungle Road,Leominster,01453,US
19,301 Massachusetts Ave,Lunenburg,01462,US
20,780 Lynnway,Lynn,01905,US
21,70 Pleasant Valley Street,Methuen,01844,US
22,830 Curran Memorial Hwy,North Adams,01247,US
23,1470 S Washington St,North Attleboro,02760,US
24,506 State Road,North Dartmouth,02747,US
25,742 Main Street,North Oxford,01537,US
26,72 Main St,North Reading,01864,US
27,200 Otis Street,Northborough,01532,US
28,180 North King Street,Northhampton,01060,US
29,555 East Main St,Orange,01364,US
30,555 Hubbard Ave,Pittsfield,01201,US
31,300 Colony Place,Plymouth,02360,US
32,301 Falls Blvd,Quincy,02169,US
33,36 Paramount Drive,Raynham,02767,US
34,450 Highland Ave,Salem,01970,US
35,1180 Fall River Avenue,Seekonk,02771,US
36,1105 Boston Road,Springfield,01119,US
37,100 Charlton Road,Sturbridge,01566,US
38,262 Swansea Mall Dr,Swansea,02777,US
39,333 Main Street,Tewksbury,10876,US
40,550 Providence Hwy,Walpole,02081,US
41,352 Palmer Road,Ware,01082,US
42,3005 Cranberry Hwy Rt 6 28,Wareham,02538,US
43,250 Rt 59,Airmont,10901,US
44,141 Washington Ave Extension,Albany,12205,US
45,13858 Rt 31 W,Albion,14411,US
46,2055 Niagara Falls Blvd,Amherst,14228,US
47,101 Sanford Farm Shpg Center,Amsterdam,12010,US
48,297 Grant Avenue,Auburn,13021,US
49,4133 Veterans Memorial Drive,Batavia,14020,US
50,6265 Brockport Spencerport Rd,Brockport,14420,US
51,5399 W Genesse St,Camillus,13031,US
52,3191 County rd 10,Canandaigua,14424,US
53,30 Catskill,Catskill,12414,US
54,161 Centereach Mall,Centereach,11720,US
55,3018 East Ave,Central Square,13036,US
56,100 Thruway Plaza,Cheektowaga,14225,US
57,8064 Brewerton Rd,Cicero,13039,US
58,5033 Transit Road,Clarence,14031,US
59,3949 Route 31,Clay,13041,US
60,139 Merchant Place,Cobleskill,12043,US
61,85 Crooked Hill Road,Commack,11725,US
62,872 Route 13,Cortlandville,13045,US
63,279 Troy Road,East Greenbush,12061,US
64,2465 Hempstead Turnpike,East Meadow,11554,US
65,6438 Basile Rowe,East Syracuse,13057,US
66,25737 US Rt 11,Evans Mills,13637,US
67,901 Route 110,Farmingdale,11735,US
68,2400 Route 9,Fishkill,12524,US
69,10401 Bennett Road,Fredonia,14063,US
70,1818 State Route 3,Fulton,13069,US
71,4300 Lakeville Road,Geneseo,14454,US
72,990 Route 5 20,Geneva,14456,US
73,311 RT 9W,Glenmont,12077,US
74,200 Dutch Meadows Ln,Glenville,12302,US
75,100 Elm Ridge Center Dr,Greece,14626,US
76,1549 Rt 9,Halfmoon,12065,US
77,5360 Southwestern Blvd,Hamburg,14075,US
78,103 North Caroline St,Herkimer,13350,US
79,1000 State Route 36,Hornell,14843,US
80,1400 County Rd 64,Horseheads,14845,US
81,135 Fairgrounds Memorial Pkwy,Ithaca,14850,US
82,2 Gannett Dr,Johnson City,13790,US
83,233 5th Ave Ext,Johnstown,12095,US
84,601 Frank Stottile Blvd,Kingston,12401,US
85,350 E Fairmount Ave,Lakewood,14750,US
86,4975 Transit Rd,Lancaster,14086,US
87,579 Troy-Schenectady Road,Latham,12110,US
88,5783 So Transit Road,Lockport,14094,US
89,7155 State Rt 12 S,Lowville,13367,US
90,425 Route 31,Macedon,14502,US
91,3222 State Rt 11,Malone,12953,US
92,200 Sunrise Mall,Massapequa,11758,US
93,43 Stephenville St,Massena,13662,US
94,750 Middle Country Road,Middle Island,11953,US
95,470 Route 211 East,Middletown,10940,US
96,3133 E Main St,Mohegan Lake,10547,US
97,288 Larkin,Monroe,10950,US
98,41 Anawana Lake Road,Monticello,12701,US
99,4765 Commercial Drive,New Hartford,13413,US
100,1201 Rt 300,Newburgh,12550,US
101,255 W Main St,Avon,6001,US
102,120 Commercial Parkway,Branford,6405,US
103,1400 Farmington Ave,Bristol,6010,US
104,161 Berlin Road,Cromwell,6416,US
105,67 Newton Rd,Danbury,6810,US
106,656 New Haven Ave,Derby,6418,US
107,69 Prospect Hill Road,East Windsor,6088,US
108,150 Gold Star Hwy,Groton,6340,US
109,900 Boston Post Road,Guilford,6437,US
110,2300 Dixwell Ave,Hamden,6514,US
111,495 Flatbush Ave,Hartford,6106,US
112,180 River Rd,Lisbon,6351,US
113,420 Buckland Hills Dr,Manchester,6040,US
114,1365 Boston Post Road,Milford,6460,US
115,1100 New Haven Road,Naugatuck,6770,US
116,315 Foxon Blvd,New Haven,6513,US
117,164 Danbury Rd,New Milford,6776,US
118,3164 Berlin Turnpike,Newington,6111,US
119,474 Boston Post Road,North Windham,6256,US
120,650 Main Ave,Norwalk,6851,US
121,680 Connecticut Avenue,Norwalk,6854,US
122,220 Salem Turnpike,Norwich,6360,US
123,655 Boston Post Rd,Old Saybrook,6475,US
124,625 School Street,Putnam,6260,US
125,80 Town Line Rd,Rocky Hill,6067,US
126,465 Bridgeport Avenue,Shelton,6484,US
127,235 Queen St,Southington,6489,US
128,150 Barnum Avenue Cutoff,Stratford,6614,US
129,970 Torringford Street,Torrington,6790,US
130,844 No Colony Road,Wallingford,6492,US
131,910 Wolcott St,Waterbury,6705,US
132,155 Waterford Parkway No,Waterford,6385,US
133,515 Sawmill Road,West Haven,6516,US
134,2473 Hackworth Road,Adamsville,35005,US
135,630 Coonial Promenade Pkwy,Alabaster,35007,US
136,2643 Hwy 280 West,Alexander City,35010,US
137,540 West Bypass,Andalusia,36420,US
138,5560 Mcclellan Blvd,Anniston,36206,US
139,1450 No Brindlee Mtn Pkwy,Arab,35016,US
140,1011 US Hwy 72 East,Athens,35611,US
141,973 Gilbert Ferry Road Se,Attalla,35954,US
142,1717 South College Street,Auburn,36830,US
143,701 Mcmeans Ave,Bay Minette,36507,US
144,750 Academy Drive,Bessemer,35022,US
145,312 Palisades Blvd,Birmingham,35209,US
146,1600 Montclair Rd,Birmingham,35210,US
147,5919 Trussville Crossings Pkwy,Birmingham,35235,US
148,9248 Parkway East,Birmingham,35206,US
149,1972 Hwy 431,Boaz,35957,US
150,10675 Hwy 5,Brent,35034,US
151,2041 Douglas Avenue,Brewton,36426,US
152,5100 Hwy 31,Calera,35040,US
153,1916 Center Point Rd,Center Point,35215,US
154,1950 W Main St,Centre,35960,US
155,16077 Highway 280,Chelsea,35043,US
156,1415 7Th Street South,Clanton,35045,US
157,626 Olive Street Sw,Cullman,35055,US
158,27520 Hwy 98,Daphne,36526,US
159,2800 Spring Avn SW,Decatur,35603,US
160,969 Us Hwy 80 West,Demopolis,36732,US
161,3300 South Oates Street,Dothan,36301,US
162,4310 Montgomery Hwy,Dothan,36303,US
163,600 Boll Weevil Circle,Enterprise,36330,US
164,3176 South Eufaula Avenue,Eufaula,36027,US
165,7100 Aaron Aronov Drive,Fairfield,35064,US
166,10040 County Road 48,Fairhope,36533,US
167,3186 Hwy 171 North,Fayette,35555,US
168,3100 Hough Rd,Florence,35630,US
169,2200 South Mckenzie St,Foley,36535,US
170,2001 Glenn Bldv Sw,Fort Payne,35968,US
171,340 East Meighan Blvd,Gadsden,35903,US
172,890 Odum Road,Gardendale,35071,US
173,1608 W Magnolia Ave,Geneva,36340,US
174,501 Willow Lane,Greenville,36037,US
175,170 Fort Morgan Road,Gulf Shores,36542,US
176,11697 US Hwy 431,Guntersville,35976,US
177,42417 Hwy 195,Haleyville,35565,US
178,1706 Military Street South,Hamilton,35570,US
179,1201 Hwy 31 NW,Hartselle,35640,US
180,209 Lakeshore Parkway,Homewood,35209,US
181,2780 John Hawkins Pkwy,Hoover,35244,US
182,5335 Hwy 280 South,Hoover,35242,US
183,1007 Red Farmer Drive,Hueytown,35023,US
184,2900 S Mem PkwyDrake Ave,Huntsville,35801,US
185,11610 Memorial Pkwy South,Huntsville,35803,US
186,2200 Sparkman Drive,Huntsville,35810,US
187,330 Sutton Rd,Huntsville,35763,US
188,6140A Univ Drive,Huntsville,35806,US
189,4206 N College Ave,Jackson,36545,US
190,1625 Pelham South,Jacksonville,36265,US
191,1801 Hwy 78 East,Jasper,35501,US
192,8551 Whitfield Ave,Leeds,35094,US
193,8650 Madison Blvd,Madison,35758,US
194,145 Kelley Blvd,Millbrook,36054,US
195,1970 S University Blvd,Mobile,36609,US
196,6350 Cottage Hill Road,Mobile,36609,US
197,101 South Beltline Highway,Mobile,36606,US
198,2500 Dawes Road,Mobile,36695,US
199,5245 Rangeline Service Rd,Mobile,36619,US
200,685 Schillinger Rd,Mobile,36695,US
201,3371 S Alabama Ave,Monroeville,36460,US
202,10710 Chantilly Pkwy,Montgomery,36117,US
203,3801 Eastern Blvd,Montgomery,36116,US
204,6495 Atlanta Hwy,Montgomery,36117,US
205,851 Ann St,Montgomery,36107,US
206,15445 Highway 24,Moulton,35650,US
207,517 West Avalon Ave,Muscle Shoals,35661,US
208,5710 Mcfarland Blvd,Northport,35476,US
209,2900 Pepperrell Pkwy,Opelika,36801,US
210,92 Plaza Lane,Oxford,36203,US
211,1537 Hwy 231 South,Ozark,36360,US
212,2181 Pelham Pkwy,Pelham,35124,US
213,165 Vaughan Ln,Pell City,35125,US
214,3700 Hwy 280-431 N,Phenix City,36867,US
215,1903 Cobbs Ford Rd,Prattville,36066,US
216,4180 Us Hwy 431,Roanoke,36274,US
217,13675 Hwy 43,Russellville,35653,US
218,1095 Industrial Pkwy,Saraland,36571,US
